what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1520515195166
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1520515195310
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1520515212894
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1520515213063
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1520515216493
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1520515216637
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1520515221268
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1520515260715
executed,command,org.eclipse.debug.ui,3.4.1.v20080811_r341,org.eclipse.debug.ui.commands.DebugLast,1520515295334
executed,command,org.eclipse.debug.ui,3.4.1.v20080811_r341,org.eclipse.debug.ui.commands.DebugLast,1520515323247
executed,command,org.eclipse.debug.ui,3.4.1.v20080811_r341,org.eclipse.debug.ui.commands.DebugLast,1520515329690
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1520515329791
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1520515330767
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1520515380512
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1520515457550
executed,command,org.eclipse.debug.ui,3.4.1.v20080811_r341,org.eclipse.debug.ui.commands.DebugLast,1520515537085
executed,command,org.eclipse.debug.ui,3.4.1.v20080811_r341,org.eclipse.debug.ui.commands.DebugLast,1520515552415
executed,command,org.eclipse.debug.ui,3.4.1.v20080811_r341,org.eclipse.debug.ui.commands.DebugLast,1520515559662
executed,command,org.eclipse.debug.ui,3.4.1.v20080811_r341,org.eclipse.debug.ui.commands.DebugLast,1520515567085
activated,view,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.PackageExplorer,1520515581871
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1520515584342
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1520515597443
opened,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1520515597500
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1520515597534
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1520515632454
