what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1520514191083
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1520514191692
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1520514193252
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1520514215906
executed,command,org.eclipse.debug.ui,3.4.1.v20080811_r341,org.eclipse.debug.ui.commands.DebugLast,1520514228948
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1520514229149
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1520514229915
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.copy,1520514233183
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1520514234923
executed,command,org.eclipse.debug.ui,3.4.1.v20080811_r341,org.eclipse.debug.ui.commands.DebugLast,1520514237506
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1520514237673
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1520514238193
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1520514240931
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1520514254934
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.cut,1520514265405
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1520514267844
executed,command,org.eclipse.debug.ui,3.4.1.v20080811_r341,org.eclipse.debug.ui.commands.DebugLast,1520514270116
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1520514270366
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1520514270708
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1520514272026
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1520514319373
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.cut,1520514321666
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1520514329146
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1520514329180
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1520514332239
