what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.copy,1521115391094
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1521115394043
executed,command,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.edit.text.java.toggle.comment,1521115401265
executed,command,org.eclipse.debug.ui,3.4.1.v20080811_r341,org.eclipse.debug.ui.commands.DebugLast,1521115425055
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1521115425087
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1521115425945
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1521115426366
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1521115429423
executed,command,org.eclipse.debug.ui,3.4.1.v20080811_r341,org.eclipse.debug.ui.commands.DebugLast,1521115434150
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1521115434462
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1521115438440
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1521115464243
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1521115464367
opened,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.ClassFileEditor,1521115466349
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.ClassFileEditor,1521115466395
activated,view,org.eclipse.ui.views,3.3.0.I20080509-2000,org.eclipse.ui.views.ContentOutline,1521115487065
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.ClassFileEditor,1521115491714
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1521115498235
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1521115622505
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1521116652107
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1521116757625
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1521116757766
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1521116768265
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1521116793849
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1521116819714
