what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.debug.ui,3.4.1.v20080811_r341,org.eclipse.debug.ui.commands.DebugLast,1521114357087
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1521114357118
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1521114357851
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.copy,1521114382608
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1521114384902
executed,command,org.eclipse.debug.ui,3.4.1.v20080811_r341,org.eclipse.debug.ui.commands.DebugLast,1521114392452
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1521114392483
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1521114393700
executed,command,org.eclipse.debug.ui,3.4.1.v20080811_r341,org.eclipse.debug.ui.commands.DebugLast,1521114405306
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1521114405322
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1521114406008
executed,command,org.eclipse.debug.ui,3.4.1.v20080811_r341,org.eclipse.debug.ui.commands.DebugLast,1521114430719
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1521114430750
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1521114431390
opened,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.ClassFileEditor,1521114534397
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.ClassFileEditor,1521114534443
activated,view,org.eclipse.ui.views,3.3.0.I20080509-2000,org.eclipse.ui.views.ContentOutline,1521114587468
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.ClassFileEditor,1521114592195
activated,view,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.PackageExplorer,1521114761861
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.ClassFileEditor,1521114763374
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1521114852512
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1521114898938
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1521114909218
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1521114982133
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.window.openEditorDropDown,1521114982133
