what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1521121437370
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1521121446013
executed,command,org.eclipse.debug.ui,3.4.1.v20080811_r341,org.eclipse.debug.ui.commands.DebugLast,1521121464218
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1521121464249
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1521121464857
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1521121949581
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1521121958302
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1521121959862
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1521122039664
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1521122043634
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1521122049557
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1521122115211
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1521122119058
executed,command,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.edit.text.java.generate.hashcode.equals,1521122119106
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1521122124782
executed,command,org.eclipse.debug.ui,3.4.1.v20080811_r341,org.eclipse.debug.ui.commands.DebugLast,1521122133201
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1521122136381
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1521122137874
started,bundle,org.eclipse.mylyn.ide.ant,3.0.2.v20080918-1100-e3x,org.eclipse.mylyn.ide.ant,1521122137901
started,bundle,org.eclipse.mylyn.resources.ui,3.0.2.v20080918-1100-e3x,org.eclipse.mylyn.resources.ui,1521122137908
closed,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1521122138037
stopped,bundle,org.eclipse.mylyn.ide.ant,3.0.2.v20080918-1100-e3x,org.eclipse.mylyn.ide.ant,1521122138329
stopped,bundle,org.eclipse.ant.ui,3.3.0.v20080529,org.eclipse.ant.ui,1521122138330
stopped,bundle,org.eclipse.mylyn.java.tasks,3.0.2.v20080918-1100-e3x,org.eclipse.mylyn.java.tasks,1521122138330
stopped,bundle,org.eclipse.mylyn.java.ui,3.0.2.v20080918-1100-e3x,org.eclipse.mylyn.java.ui,1521122138358
