what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1521118188618
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1521118189628
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1521118192637
executed,command,org.eclipse.debug.ui,3.4.1.v20080811_r341,org.eclipse.debug.ui.commands.DebugLast,1521118276158
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1521118276174
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1521118276673
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1521118277188
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1521118280589
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1521118330415
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1521118380600
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1521118381692
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1521118394066
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1521118543971
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1521118558307
opened,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1521118558354
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1521118558385
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1521118720251
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1521118809557
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1521119861139
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1521119903135
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1521119955566
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1521119960621
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1521119976002
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1521119980214
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1521119994988
